"Titular	Etiqueta	Cuerpo	Tema	URL	Fecha	Fuente	Fecha_extraccion";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Crónica de la desescalada: el final de los ERTES COVID y el retorno a la normalidad laboral	VERDADERO	La crisis sanitaria provocada por la COVID-19 ha obligado al Derecho del Trabajo español a realizar un notable esfuerzo, diseñando un conjunto de medidas dirigido a facilitar el confinamiento de los ciudadanos a la vez que se limitan los efectos negativos de este sobre la economía y el empleo. El instrumento fundamental para ello ha sido el expediente de regulación temporal de empleo, una figura ya conocida en nuestro Derecho que ha sido rediseñado para ser utilizado en este contexto tan difícil y sin precedentes. Una vez superado el estado de alarma, e iniciado el proceso de retorno a la normalidad, ha hecho falta aprobar un conjunto de disposiciones que faciliten la terminación de estos ERTES especiales del COVID. Estas disposiciones recogen acuerdos previos de los interlocutores sociales que han asumido un marcado protagonismo en la gestión de este proceso.	TRABAJO	http://doi.org/10.12795/tpdm.2020.i1.05	2020-01-01	Trabajo persona derecho mercado Revista de estudios sobre ciencias del trabajo y protección social	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Propuesta metodológica para la descomposición y el análisis de contenido del discurso periodístico	VERDADERO	In this article we reflect an empirical methodology oriented to the journalistic discourse analysis. For this reason, we present the treatment of the discourse referring to a media event in the city of Ceuta: the massive jump of the fence located at the border crossing of the city, carried out on July 26, 2018 by 602 migrants. In this sense, we create a corpus with the articles published the week of the jump and, and we carry out a language analysis in context through the automatic processing of the data using the AntConc program. Subsequently, we apply the methodology of “Topology of Discourse”, with the aim of reflecting the conceptual notions which the event is described with, emphasizing the vinculation that occurs between migrants and the implication of a violent attitude during the jump. In this sense, after a quantitative and qualitative treatment of the corpus, we reached different conclusions, among which we can highlight the identification of the discursive bases used daily to describe and make reference to numerous aspects of the jump in particular and the migratory phenomenon in general, as well as the relationship between the time frame and the notoriety of certain topics that have arisen during the week of the jump.	POLÍTICA Y LEYES	http://dx.doi.org/10.25267/pragmalinguistica.2023.i31.2	2023-01-01	Pragmalinguistica	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Sociedades pluriculturales y administraciones locales: inmigración, diversidad y convivencia en las ciudades. Reflexiones jurídicas	VERDADERO	Sociedades pluriculturales y administraciones locales: inmigración, diversidad	CONVIVENCIA Y RACISMO	http://dx.doi.org/10.61521/cuadernosderecholocal.11.261	2023-08-01	Cuadernos de Derecho Local	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Hacia un concepto operativo de frontera. Nuevos dispositivos legales y sus efectos en el cuerpo migrante	VERDADERO	[SPA] El trabajo desarrollado se centra en el análisis de las consecuencias espaciales que ha&#13";\nsufrido el territorio europeo a raíz de un cambio topológico en la noción de frontera y su&#13;\nrelación con el cuerpo migrante.&#13;\nNo podemos seguir entendiendo la frontera como la línea o división abstracta separadora de&#13;\ndos territorios, sino como un mecanismo mucho más complejo en el que diferentes realidades&#13;\nse superponen simultáneamente, donde el elemento físico, el muro, se ha reducido a un&#13;\nelemento simbólico. La puesta en crisis de la soberanía del Estado hace que sus límites se&#13;\ndiluyan y den paso a nuevos dispositivos fronterizos. La frontera se ha convertido en un&#13;\norganismo potencialmente presente en el territorio en el que se inserta, que lo ha estructurado&#13;\nde tal manera que no hay lugar que se libre de su ámbito de actuación. Europa es su propia&#13;\nfrontera.&#13;\nLa investigación se centra en los mecanismos, de corte legal, implantados por la Unión&#13;\nEuropea y que han ido definiendo desde diferentes planos de actuación tanto la frontera como&#13;\nel territorio europeo, tomando como punto de partida la firma del Acervo de Schengen en 1985&#13;\ny extendiéndose hasta la actualidad. Este material de trabajo ha permitido explicar los&#13;\nfenómenos simultáneos de refuerzo, desmaterialización y externalización que ha ido sufriendo&#13;\nla frontera europea y su aplicación práctica sobre el cuerpo del migrante y del ciudadano,&#13;\npermitiendo establecer una serie de tendencias de lo que puede llegarse a convertir en los&#13;\naños venideros.&#13;\n[ENG] The following research focuses on the analysis of the spatial consequences that European&#13;\nterritory has suffered due to a topological change in the Frontiere notion and its relations with&#13;\nthe migrant body.&#13;\nWe cannot keep understanding border as an abstract line or division which is separating two&#13;\nterritories, we must think borders as a much more complex mechanism in which different&#13;\nrealities are simultaneously overlapped. As a consequence the physical boundary element is&#13;\nreduced to a purely symbolic condition.The sovereignty crisis of the State is causing the&#13;\ndissolution of its limits, conceiving new border-devices. Border has become an potentially present organism in the territory in which is inserted, and it has been structured in a way that&#13;\nthere is no place to be free from its scope. Europe has become his own Border.&#13;\nThe investigation is focused in the legal mechanisms configured by European Union which&#13;\nhave defined, from different areas, both Border and territory. This material has allowed to&#13;\nexplain the simultaneous phenomenons of reinforcement, dematerialization and externalization&#13;\nof the European borders and its practical (both legal and executive) application onto the&#13;\nmigrant and citizen body; this condition allowed us to establish a set of patterns and trends&#13;"\nwhich could potentially be reached in the following years.	VIGILANCIA DE FRONTERAS	http://dx.doi.org/10.31428/10317/10789	2024-03-04	OpenAlex	2026-02-23"
"Fronteras cotidianas: intersecciones de espacios de exclusión y resistencia en una experiencia de migración desde América del Sur	VERDADERO	El presente trabajo tiene como objetivo reflexionar sobre los espacios de actividad cotidiana como generadores de exclusión y a la vez como disparadores para el desarrollo de la agencia y la transformación social y colectiva en contextos de migración. Las categorías de legitimidad creadas por las fronteras internacionales generan una brecha en el acceso a derechos de ciudadanía. Sin embargo, es en la interacción cotidiana donde con mayor amplitud se ponen de manifiesto una serie de fronteras simbólicas que dificultan la integración de la población migrante, más acentuado aun en el caso de las mujeres. A través del caso de Galdys, una mujer cuya experiencia migratoria involucra un viaje desde Perú hasta España, trataremos de ilustrar nuestro argumento y profundizaremos sobre los espacios de interacción a los que tiene acceso y cómo se generan una serie de fronteras simbólicas que modifican las relaciones entre las personas que habitan un territorio. Estas fronteras se superponen, creando un tejido de intersecciones que si bien empujan hacia la exclusión social y el aislamiento, también suponen un espacio de desarrollo de la agencia. Concretamente, en el caso que presentamos en este trabajo, la experiencia fluctúa entre el ser considerada prescindible y a la vez ser una pieza fundamental para el sistema económico y social a través de los cuidados. Esta tensión se resuelve mediante el activismo y la reconfiguración de roles y prácticas. De esta forma nos invita a repensar el privilegio y el poder como procesos dinámicos y la capacidad de agencia individual, pero también comunitaria, como motor de la transformación política y social.	VIGILANCIA DE FRONTERAS	https://doi.org/10.46661/ambigua.6077	2021-12-14	Ambigua Revista de Investigaciones sobre Género y Estudios Culturales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La inmigración suiza y el surgimiento de una red vinculada a la yerba mate en Misiones, Argentina: un abordaje a partir de la microhistoria (1919-1929)	VERDADERO	El presente artículo centra su atención en las migraciones suizas durante la década de 1920 y tiene como objetivo analizar la figura del profesor Andreas Sprecher von Bernegg como nexo fundamental para la conformación y articulación de una red migratoria vinculada a la yerba mate, “el oro verde”. A partir del abordaje microhistórico y prosopográfico, la metodología empleada es esencialmente cualitativa con análisis de fuentes obtenidas de archivos particulares y estatales, memorias de inmigrantes, relatos de viajeros y entrevistas para la creación de fuentes orales y entrevistas etnográficas. La llegada de sus alumnos al territorio de Misiones fue fundamental para transformar la economía local y propiciar el pasaje de una economía extractiva a una productiva en torno al cultivo de la yerba mate, con la visión de que prime la calidad más que la cantidad.	POLÍTICA Y LEYES	http://dx.doi.org/10.33679/rmi.v1i1.2784	2024-03-15	Migraciones internacionales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Andragogía: un límite al edadismo (la Generación Siglo 20/21 un modelo de referencia)	VERDADERO	A pesar de encontrarnos en pleno siglo XXI, aún se mantienen los estereotipos vejatorios sobre la edad de los seres humanos que han dado lugar al neologismo “edadismo”. Frente a lo cual se impone la necesidad de un cambio de paradigma, que se apoye en las instituciones y en las normas jurídicas, con el fin de poder reivindicar los derechos y el respeto a los mayores. En este sentido, se hacen necesarios proyectos de formación, tanto en las nuevas generaciones como en las generaciones adultas, con el fin de reivindicar la experiencia y la edad. Para lo cual, se hace oportuno un esfuerzo andragógico con el propósito de visualizar la importancia de los años, e incluso nos ha parecido sugerente hablar de la Generación Siglos 20/21, con el propósito de unir a aquellas personas que hayan logrado vivir el puente entre estos dos siglos.	POLÍTICA Y LEYES	https://doi.org/10.54790/rccs.2	2022-10-31	Revista CENTRA de Ciencias Sociales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"El nuevo mapa regulatorio del trabajo del hogar en España. Condicionantes político-jurídicos y condicionantes materiales de un sector precarizado y feminizado	VERDADERO	El texto examina las luces y las sombras de la nueva normativa española sobre el empleo en el hogar en el contexto de la llamada «crisis de los cuidados». Para ello se examinan dos tipos de condicionantes que han influido en la reforma de 2022: los jurídico-internacionales y los político-sociales, donde destaca la autoorganización de las trabajadoras del sector. El estudio fija su atención en sus demandas, en diálogo con especialistas e instituciones, a fin de identificar con precisión los problemas a los que se enfrenta la reforma.	TRABAJO	http://dx.doi.org/10.7203/cefd.48.25843	2023-06-01	Cuadernos Electrónicos de Filosofía del Derecho	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Estudio de los factores que propician la participación política de los inmigrantes con derecho a voto. Caso de los residentes venezolanos en Chile (2017-2021)	VERDADERO	Este articulo identifica los factores que propician el rol activo de participación electoral de los residentes venezolanos con derecho a voto en Chile, explorando como hipótesis que su rol activo para participar en las elecciones chilenas obedece a factores individuales y sociales. Los hallazgos surgidos de encuestas a 100 residentes venezolanos con más de 5 años en Chile y análisis estadísticos evidencian que los ingresos económicos es un factor explicativo en los tres comicios celebrados en Chile, el sentido de pertenencia tiene correlación solo en las elecciones presidenciales de 2017, el nivel educativo tanto en las presidenciales como el plebiscito 2020, el discurso político en las elecciones de constituyentes de 2021 mientras la participación asociativa no explica dicha participación.	POLÍTICA Y LEYES	http://dx.doi.org/10.5354/0719-5338.2023.71962	2023-12-26	Política Revista de Ciencia Política	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Competencia cultural enfermera en España	VERDADERO	Introducción: Los cambios socioculturales derivados de la globalización y los procesos migratorios en España confirman la progresión y consolidación hacia una sociedad multicultural. Los profesionales de salud deben ser capaces de orientar los cuidados a las nuevas necesidades para que estos sean íntegros, eficaces y de calidad. Objetivos: Determinar los elementos que influyen en la consecución de la competencia cultural desde la disciplina enfermera en España versus los inmigrantes. Metodología: Revisión bibliográfica a través de las bases de datos PubMed, CINAHL, Scopus, Cuiden y SciELO. Resultados: Se seleccionaron 22 artículos según los criterios previamente establecidos. Discusión: Los usuarios describen la cultura como una fuente de incomprensión y conflictos, siendo la comunicación y la competencia enfermera las dos barreras que más inciden en el cuidado. Para conseguir cuidados culturalmente competentes, es necesario desarrollar la alfabetización enfermera. ABSTRACT Introduction: In Spain, globalization and migratory processes are contributing to the development and consolidation of a multicultural society. Healthcare professionals need to be able to adapt their responsibilities to meet new needs and provide complete, effective, and high-quality care. Objectives: Analyze the factors that influence the achievement of cultural competence in nursing discipline in Spain among immigrants. Methodology: Bibliographic review through PubMed, CINAHL, Scopus, Cuiden and SciELO databases. Results: 22 articles were selected according to the previously established criteria. Discussion: As users report, culture poses misunderstandings and conflict, with communication and nursing skills as two barriers to care. To achieve culturally competent care, nursing literacy is essential.	SANIDAD	http://dx.doi.org/10.58722/nure.v20i124.2334	2023-06-01	NURE Investigación	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inmigración y gestión de la comunicación: ¿logística humanitaria vs logística comercial?	VERDADERO	Resumen: La acción humanitaria es a menudo un esfuerzo multifacético y multilingüe en la que una comunicación deficiente pueden tener consecuencias vitales. Los traductores e intérpretes profesionales (Tr&amp";"In), así como el personal multilingüe de organizaciones internacionales, nacionales o locales, desempeñan un papel fundamental a la hora de garantizar una comunicación eficaz. El objetivo principal de este artículo es analizar críticamente la consideración de la actuación de los agentes de la comunicación en entornos multilingües en dos elementos fundamentales en las sociedades: los organismos oficiales (administración del estado) y la sociedad civil (ONGs) con el fin de averiguar si van en la misma dirección o si existen diferencias entre ellos en la consideración del papel(es) de la lengua en situaciones de crisis y emergencia para la construcción de una sociedad más inclusiva y cosmopolita. Palabras clave: Ética. Crisis y emergencia. Sociedad civil. Traducción e Interpretación en los Servicios Públicos. TISP.ONG.	HUMANITARIO	https://doi.org/10.21071/arf.v35i.16123	2024-01-31	Alfinge Revista de Filología	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Actividades orientadas al desarrollo de la motivación para la enseñanza del español como lengua extranjera a adultos extranjeros residentes en Melilla	VERDADERO	El presente artículo trata de establecer un nexo entre la motivación y el uso de actividades con significado personal en las clases de enseñanza del español como lengua extranjera. El estudio intenta averiguar si las actividades que tienen significado personal y estimulan la interacción en el grupo resultan ser más motivadoras para estudiantes adultos marroquíes en un contexto de inmersión. Los resultados de la investigación han confirmado la hipótesis que la realización de este tipo de actividades motiva al alumnado y aumenta su confianza en sí mismo, por un lado"; por otro, ayuda a crear un ambiente seguro y ameno dentro del aula.&#x0D;"	CONVIVENCIA Y RACISMO	https://doi.org/10.11606/issn.2317-9651.v0i19p564-601	2020-06-24	Caracol	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Modelo organizativo de impacto social positivo. La sindicalización feminista como forma de resistencia	VERDADERO	En este artículo proponemos indagar sobre las luchas para la dignidad laboral de mujeres latinoamericanas sindicalizadas de manera independiente en España. Como activistas de Sindihogar, el primer sindicato feminista independiente de trabajo de hogar y de cuidados en España, las investigadoras realizamos un análisis interdisciplinar de la situación actual y las resistencias presentes en el país. Según el pronóstico de envejecimiento exponencial en España, se espera un aumento de las necesidades de atención a la dependencia. Las mujeres provenientes de Latinoamérica están sobrerrepresentadas en el sector del cuidado en el ámbito del hogar. Actualmente, este colectivo está sosteniendo las vidas más vulnerables de la postcolonialidad, desde los márgenes de la sociedad europea. Para ello, desde una perspectiva tanto jurídica como antropológica, se analiza el contexto de vida y lucha de este colectivo, el marco jurídico en que operan y las estrategias de resistencia que están desarrollando. Sindihogar se ofrece como un espacio de análisis privilegiado para observar la gestación de un espacio seguro de construcción identitaria de mujeres marginalizadas a causa de diferentes ejes de opresión, específicamente en términos de género, raza y clase.	TRABAJO	https://doi.org/10.4000/nuevomundo.91474	2023-01-01	Nuevo mundo mundos nuevos	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Democracia, civismo y partidos políticos	VERDADERO	Este artículo, es un primer acercamiento a la cuestión de la concepción de la democracia en los partidos políticos con representación institucional, lo que trata es el tema de qué es la democracia para los militantes de base y los representantes locales de los partidos políticos en el consistorio. Se lleva acabo el análisis de un grupo de discusión realizado en el verano del 2018 en el que participaron militantes de base de algunos partidos con representación institucional, junto con entrevistas individuales a representantes locales con cargo en el consistorio. Estas entrevistas se realizaron en la ciudad giennense de Linares, antaño ciudad industrial que hoy día sufre una fuerte crisis económica por la falta de trabajo, al cerrar las principales empresas de la ciudad";" además de ser una ciudad que durante toda la democracia ha gobernado el PSOE, exceptuando una legislatura en los noventa del siglo pasado. A lo largo de las intervenciones de cada participante en el grupo de discusión, así como en las entrevistas individuales, se perfilará unas diferencias en torno a qué es la democracia, la disciplina de partido, el rol de los representantes políticos... Que evidenciarán una cierta pluralidad y diferencias en cuanto a la concepción de los distintos involucrados en el grupo de discusión y las entrevistas individuales a los representantes locales en torno a qué es la democracia según ellos	POLÍTICA Y LEYES	https://doi.org/10.17561/rae.v22.5792	2022-04-08	Antropología Experimental	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Cambios en la estrategia política de Vox tras su irrupción electoral: populismo y búsqueda del voto obrero	VERDADERO	La formación política Vox irrumpió electoralmente en el Parlamento de Andalucía en diciembre de 2018 y se expandió a todo el territorio nacional en las elecciones generales de abril de 2019, consolidándose en los comicios de noviembre de ese mismo año. El propósito de este estudio es comprobar hasta qué punto el partido presidido por Santiago Abascal ha adoptado desde entonces, a partir de 2020, un progresivo cambio en su estrategia política con la finalidad de incrementar su base social y electoral. Concretamente nos centraremos en la evolución de su populismo, que pasará de ser implícito a explícito, y en la búsqueda del voto obrero y de las clases populares. Se prestará especial atención, en este sentido, a la creación del sindicato Solidaridad, vinculado plenamente con Vox. Para conseguir nuestro propósito, metodológicamente, emplearemos el análisis del discurso dentro del marco temporal seleccionado que comprende desde 2013, año de la fundación de Vox, hasta finales de 2020, y para implementar este método aplicaremos el software de análisis cualitativo Atlas.ti.	POLÍTICA Y LEYES	https://doi.org/10.14198/disjuntiva2024.5.1.2	2024-01-09	Disjuntiva Crítica de les Ciències Socials	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Experiencias de discriminación racial en la población inmigrante marroquí en el País Vasco: Perspectivas generacionales y de género	VERDADERO	Esta investigación estudia la experiencia de la población inmigrante marroquí en relación con la discriminación racial en el País Vasco. A través de entrevistas semiestructuradas (28), se destacan tres hallazgos principales: primero, la diversidad de experiencias de racismo según la generación y el género"; segundo, el temor creciente ante estereotipos negativos sobre los marroquíes, especialmente las mujeres marroquíes;" y tercero, la discriminación se manifiesta en diversos contextos, como la vida cotidiana, laboral y en el espacio público. Los resultados reflejan la complejidad de la discriminación racial en este grupo migrante.	CONVIVENCIA Y RACISMO	https://doi.org/10.15366/reim2025.38.004	2025-06-24	Revista de Estudios Internacionales Mediterráneos	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La regulación de las paradas policiales: una comparativa internacional	VERDADERO	Las paradas policiales son una línea de investigación jurídica y criminológica destacada en muchos países, sobre todo anglosajones, y cada vez más relevante en otros, como en general los países europeos y, en concreto, España. Sin embargo, existe poca literatura comparando la regulación de las mismas. Con la intención de contribuir en este aspecto, el presente artículo describe los dos principales modelos de regulación internacionales de las paradas policiales: el modelo anglosajón de Stop and Search o Stop and Frisk, presente en países como Reino Unido, y el modelo europeo continental de control de identidad, presente en países europeos como Francia y también en países latinoamericanos como Chile. Respecto a este último modelo se hará un análisis más detallado para el caso español. Pese a las diferencias entre modelos de regulación se puede observar que comparten una serie de características que en ambos casos dificultan el control legal efectivo de las paradas policiales. Por último, a modo de conclusión, se expondrán las principales similitudes y diferencias entre los dos modelos.	CRIMINALIDAD	https://doi.org/10.5944/rdpc.22.2019.27309	2020-10-09	Revista de Derecho Penal y Criminología	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La situación de los inmigrantes y el mundo laboral	VERDADERO	Con el crecimiento de las migraciones de estas últimas décadas, la mujer inmigrante originaria de los países del Sur ha entrado en el mundo laboral. Como el hombre, las oportunidades laborales motivan muchas mujeres subsaharianas en emprender proyectos personales o/y colectivos de migración hacia otros contextos socioeconómicos. Durante mucho tiempo su presencia y su protagonismo en los movimientos migratorios han dejado indiferentes a investigadoras e investigadores en ciencias sociales las/los cuales reflejaban en sus estudios únicamente las migraciones desde la perspectiva del hombre, es decir masculina. Que sigua su marido o que vaya sola, tener un empleo es también una prioridad. Se la han mantenido en la invisibilidad laboral y social. El presente trabajo se centra en primer lugar sobre la discriminación que sufren las mujeres inmigrantes subsaharianas residentes en la Región de Murcia. En segundo lugar, trata la migración de estas mujeres en las últimas décadas fuera de sus países de origen. Y en tercer lugar se analiza cómo, a pesar de la discriminación y de los estereotipos de la sociedad de residencia, desarrollan estrategias personales y/o colectivas para conseguir un empleo en un mercado dual y etnificado, y por lo tanto discriminatorio.	TRABAJO	https://doi.org/10.46661/lexsocial.4551	2020-01-16	Lex Social Revista de Derechos Sociales	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Validación de la Escala de Percepción de Amenaza Exogrupal (EPAE) para inmigrantes venezolanos en Colombia	VERDADERO	Este artículo analiza las propiedades psicométricas, en particular la validez estructural y convergente de la Escala de Percepción de Amenaza Exogrupal (EPAE) en la versión de Carmona-Halty y Navas (2016), con 1.078 colombianos en Barranquilla, norte de Colombia, con respecto al nivel de amenaza realista, simbólica y de seguridad percibida sobre los inmigrantes procedentes de Venezuela. Los participantes fueron seleccionados mediante la técnica de ola de nieve, y sus edades oscilaban entre 18 y 78 años (M=34.6";" DT=13.4), de los cuales 49% (n=523) eran hombres. Los resultados indican una alta consistencia interna de la Escala (α=0.91 y ω=0.91), y el análisis factorial confirmatorio ratificó la estructura de tres factores con adecuados índices de ajuste (CFI = 0.942, RMSEA = 0.06 y SRMSR = 0.08. NFI = 0.935, PNFI = 0.723). Los indicadores de validez (por contacto, actitudes y prejuicio hacia los inmigrantes) son coherentes con los valores de la percepción de amenaza. Se encontraron diferencias con el sexo y el nivel socioeconómico de los participantes. Se discuten los resultados de este trabajo de cara a facilitar el proceso de adaptación de los inmigrantes venezolanos en el contexto receptor.	CONVIVENCIA Y RACISMO	https://doi.org/10.30849/ripijp.v58i3.2032	2024-12-20	Revista Interamericana de Psicología/Interamerican Journal of Psychology	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Emociones, plurilingüismo e interculturalidad: trabajar y fomentar su importancia con alumnos de ELE Barbadenses	VERDADERO	La didáctica de segundas lenguas ha prestado especial atención a cuestiones como el filtro afectivo y la motivación, pues ejercen una poderosa influencia en el aprendizaje, así como en el interés que exhibirá el alumno hacia la L2/C2. Es por eso por lo que describimos cuán importantes resultaron ambos aspectos para nuestros estudiantes en Barbados y qué estrategias y actividades empleamos para estimular el componente emocional como vía para la adquisición de la competencia comunicativa intercultural (CCI). Asimismo, sugerimos una serie de propuestas didácticas que contribuyeron a consolidar elementos como el autoconcepto y la disposición a comunicar";" subrayar la identidad racial y visibilizar que se puede construir un plurilingüismo holístico, orgánico y, en definitiva, real.	CONVIVENCIA Y RACISMO	http://dx.doi.org/10.17398/1988-8430.38.131	2023-01-01	Tejuelo Didáctica de la Lengua y la Literatura Educación	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rompiendo muros: narrativas fílmicas sobre las migraciones «irregulares» centroamericanas	VERDADERO	Introducción Se ha planteado que el cine documental es un medio que ofrece otras narrativas sobre las distintas problemáticas sociales, más allá de las ofrecidas por los medios de comunicación hegemónicos. Objetivo Por ello, en este artículo se pretende analizar las formas narrativas de las migraciones irregulares centroamericanas en el cine documental. Para ello, recuperamos dos documentales: ¿Cuál es el camino a casa? (2009), de Rebecca Cammisa, y Casa en tierra ajena (2017), de Ivannia Villalobos y Carlos Sandoval, para identificar y reflexionar qué se dice de la migración, cómo se enuncia y presenta a los migrantes, cómo se relata la experiencia vivida durante el camino y las causas de la migración. Método Dada la naturaleza de la pesquisa, recuperamos los planteamientos de los estudios visuales y fílmicos, que nos permiten analizar las historias, las escenas, los personajes y diálogos que constituyen el relato fílmico. Resultados Entre los resultados destaca que el cine documental habilita un espacio emergente para socializar y visibilizar las experiencias de los migrantes en su recorrido hacia los Estados Unidos y su paso por México. Conclusiones Se concluye que el cine documental se aleja de los discursos y las visualidades mediáticas de los medios de comunicación hegemónicos, para ofrecer otras miradas de la movilidad y potenciar la visibilidad de lo negado, que permiten comprender las causas que motivan la migración centroamericana, que van más allá de la simple aseveración que se da en búsqueda «del sueño americano».	VIGILANCIA DE FRONTERAS	https://doi.org/10.15517/rr.v99i2.37946	2020-05-28	Revista Reflexiones	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Las estrategias del conflicto en parejas mixtas: una aproximación a las percepciones mutuas entre personas españolas y marroquíes	VERDADERO	Bajo el desasosiego de la existencia de sociedades multiculturales en las que las personas de diversa etnia coexisten pero no conviven, surge esta investigación de carácter cuantitativa, con el objetivo de analizar la percepción entre personas españolas y marroquíes con respecto a las estrategias de afrontamiento del conflicto en parejas mixtas y la influencia de los prejuicios interculturales y de género sobre estas. La muestra fue de 68 participantes, 39 de procedencia familiar española y 29 marroquí. Los instrumentos utilizados fueron: “Cuestionario Sociodemográfico”, “Inventario de Estilos de Resolución de Conflictos”, “Test de Actitud Prejuiciosa” y “Escala de Actitudes de Roles de Género”. Los datos obtenidos se analizaron con los programas SPSS Statistics26. Los resultados muestran relación entre la percepción de las estrategias del conflicto en parejas mixtas y el género. No obstante, no se pudo evidenciar una clara relación entre la percepción de las estrategias del conflicto en parejas mixtas y los prejuicios interculturales y de género, pero sí se observó la presencia de estereotipos étnicos y de género en algunas dimensiones. Desde la educación y la mediación intercultural, comprender las percepciones mutuas entre personas españolas y marroquíes en parejas mixtas permite identificar aquellas barreras que limitan la relación entre dichos grupos en una sociedad que afronta la diversidad. Por lo tanto, ahondar en las atribuciones ante un mismo contexto familiar posibilita una visión más íntima y profunda del conflicto intercultural.	CONVIVENCIA Y RACISMO	https://doi.org/10.5209/ritie.92804	2024-04-09	Revista Internacional de Teoría e Investigación Educativa	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"La percepción social de la inmigración en el Área Metropolitana de València tras más de una década de políticas de integración / / / \ \ \ The social perception of immigration in the Metropolitan Area of Valencia after more than a decade of integration policies	VERDADERO	Resumen: Este artículo pretende perfilar, a través de una metodología empírica basada en encuestas, el rendimiento en términos de percepción social de la inmigración, de las políticas de integración en el Área Metropolitana de València. A tal fin, en primer lugar, se han descrito las líneas estratégicas de la planificación de las políticas de integración"; a continuación se ha detallado la evolución de la población extranjera durante las dos últimas décadas en este ámbito territorial; y, por último, se analizan los datos obtenidos de las encuestas realizadas con tal objetivo. Los resultados de la investigación muestran que el área metropolitana tiene un patrón de respuesta similar, en términos de tolerancia y aceptación de la inmigración, al de otros ámbitos territoriales en nuestro país y evidencia también las tensiones y problemas existentes. Del trabajo se deduce la necesidad de seguir implementando acciones de sensibilización hacia la población. Palabras clave: Inmigración, población extranjera, Administración Pública. Abstract: This article aims to outline, through an empirical methodology based on surveys, the performance of integration policies in the Metropolitan Area of València. To this end, the strategic lines of integration policy planning have been described in the first place; next, the evolution of the foreign population during the last two decades has been detailed;" and, finally, the data obtained from the surveys carried out is analyzed. The results of the investigation show that the metropolitan area has a similar pattern of response, in terms of tolerance and acceptance towards immigration, to that of other territorial areas in our country and also makes evident the existing tensions and problems. It is clear from this article the need to continue implementing awareness actions towards the population. Key words: Immigration, foreign population, Public Administration.	CONVIVENCIA Y RACISMO	https://doi.org/10.7203/terra.7.18765	2020-12-30	TERRA Revista de Desarrollo Local	2026-02-23";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
